Geneset,Gene,Source
KEGG_FATTY_ACID_METABOLISM,ECHS1,KEGG
KEGG_FATTY_ACID_METABOLISM,ADH5,KEGG
KEGG_FATTY_ACID_METABOLISM,ALDH9A1,KEGG
KEGG_FATTY_ACID_METABOLISM,ALDH3A2,KEGG
KEGG_FATTY_ACID_METABOLISM,ACSL5,KEGG
KEGG_FATTY_ACID_METABOLISM,ADH1A,KEGG
KEGG_FATTY_ACID_METABOLISM,EHHADH,KEGG
KEGG_FATTY_ACID_METABOLISM,GCDH,KEGG
KEGG_FATTY_ACID_METABOLISM,ALDH7A1,KEGG
KEGG_FATTY_ACID_METABOLISM,ACOX3,KEGG
KEGG_FATTY_ACID_METABOLISM,ACSL1,KEGG
KEGG_FATTY_ACID_METABOLISM,ACAA1,KEGG
KEGG_FATTY_ACID_METABOLISM,CPT2,KEGG
KEGG_FATTY_ACID_METABOLISM,CPT1B,KEGG
KEGG_FATTY_ACID_METABOLISM,ACOX1,KEGG
KEGG_FATTY_ACID_METABOLISM,ECI2,KEGG
KEGG_FATTY_ACID_METABOLISM,ECI1,KEGG
KEGG_FATTY_ACID_METABOLISM,ACSL3,KEGG
KEGG_FATTY_ACID_METABOLISM,ACSL4,KEGG
KEGG_STEROID_BIOSYNTHESIS,SOAT1,KEGG
KEGG_STEROID_BIOSYNTHESIS,LSS,KEGG
KEGG_STEROID_BIOSYNTHESIS,SQLE,KEGG
KEGG_STEROID_BIOSYNTHESIS,EBP,KEGG
KEGG_STEROID_BIOSYNTHESIS,CYP51A1,KEGG
KEGG_STEROID_BIOSYNTHESIS,DHCR7,KEGG
KEGG_STEROID_BIOSYNTHESIS,CYP27B1,KEGG
KEGG_STEROID_BIOSYNTHESIS,DHCR24,KEGG
KEGG_STEROID_BIOSYNTHESIS,HSD17B7,KEGG
KEGG_STEROID_BIOSYNTHESIS,MSMO1,KEGG
KEGG_STEROID_BIOSYNTHESIS,FDFT1,KEGG
KEGG_STEROID_BIOSYNTHESIS,SC5DL,KEGG
KEGG_STEROID_BIOSYNTHESIS,LIPA,KEGG
KEGG_STEROID_BIOSYNTHESIS,CEL,KEGG
KEGG_STEROID_BIOSYNTHESIS,TM7SF2,KEGG
KEGG_STEROID_BIOSYNTHESIS,NSDHL,KEGG
KEGG_STEROID_BIOSYNTHESIS,SOAT2,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,CYP46A1,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,SLC27A5,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,BAAT,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,CYP7B1,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,AKR1C4,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,HSD17B4,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,SCP2,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,AKR1D1,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,ACOX2,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,HSD3B7,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,CYP27A1,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,AMACR,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,CYP7A1,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,CYP8B1,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,CYP39A1,KEGG
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,CH25H,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,SRD5A3,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,AKR1C4,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP3A5,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD3B2,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT2B28,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD3B1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,COMT,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,SULT2B1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP3A4,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP7A1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP11A1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,AKR1C3,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD11B2,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,SULT1E1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD11B1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD17B2,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD17B3,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP21A2,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD17B1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP19A1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP17A1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP11B2,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP11B1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD17B6,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD17B7,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT2B11,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT2A3,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A4,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP3A7,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A3,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A10,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A8,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A7,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A6,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A5,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD17B8,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,AKR1C2,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,AKR1C1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP1A1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP1B1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,STS,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT2A1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,SRD5A2,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,SRD5A1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP3A43,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,CYP7B1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT1A9,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,AKR1D1,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,HSD17B12,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT2B10,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT2B7,KEGG
KEGG_STEROID_HORMONE_BIOSYNTHESIS,UGT2B4,KEGG
